MSA,Total Population, -9th grade,9-12th grade,HSDiploma,GED,SomeCollege,Assoc,BA, Grad 
New York City,1382327,86868,154569,343445,85465,272926,108370,216004,114680
Atlanta,1191199,32371,94691,287797,38682,289388,100947,220553,126770
DC,1031752,31159,67350,245250,34266,241553,69604,192855,149715
Chicago,1021587,31739,96315,265941,37858,288626,86832,132723,81553
Miami,821342,71292,93958,228976,30860,157914,79947,101268,57127
Philadelphia,802430,23776,87936,252899,37934,186507,59325,98788,55265
Houston,708987,22878,49839,167823,29412,202969,55920,115446,64700
Dallas,683241,15551,54088,167448,26244,194542,52511,113993,58864
Detroit,613811,18854,73547,151733,36277,177630,49585,64235,41950
Los Angeles,613413,14179,47399,140692,10754,182246,55290,101801,61052
