GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD01_VD02,HD01_VD03,HD01_VD04,HD01_VD05,HD01_VD06,HD01_VD07,HD01_VD08,HD01_VD09,HD01_VD10,HD01_VD11,HD01_VD12,HD01_VD13,HD01_VD14,HD01_VD15,HD01_VD16,HD01_VD17
Id,Id2,Geography,Estimate; Total:,"Estimate; Total: - Less than $10,000","Estimate; Total: - $10,000 to $14,999","Estimate; Total: - $15,000 to $19,999","Estimate; Total: - $20,000 to $24,999","Estimate; Total: - $25,000 to $29,999","Estimate; Total: - $30,000 to $34,999","Estimate; Total: - $35,000 to $39,999","Estimate; Total: - $40,000 to $44,999","Estimate; Total: - $45,000 to $49,999","Estimate; Total: - $50,000 to $59,999","Estimate; Total: - $60,000 to $74,999","Estimate; Total: - $75,000 to $99,999","Estimate; Total: - $100,000 to $124,999","Estimate; Total: - $125,000 to $149,999","Estimate; Total: - $150,000 to $199,999","Estimate; Total: - $200,000 or more"
310M200US12060,12060,"Atlanta-Sandy Springs-Roswell, GA Metro Area",638024,66582,39288,37124,38566,36902,39020,35869,35305,30572,55989,64109,65870,41784,20866,18601,11577
310M200US16980,16980,"Chicago-Naperville-Elgin, IL-IN-WI Metro Area",588059,97394,46602,42948,38514,32720,32947,28374,26051,21683,42305,48729,55606,30840,17902,14973,10471
310M200US19100,19100,"Dallas-Fort Worth-Arlington, TX Metro Area",385589,44264,27906,23857,23688,22780,23080,20301,20090,17699,31130,37827,38531,24873,11842,10795,6926
310M200US19820,19820,"Detroit-Warren-Dearborn, MI Metro Area",367889,67446,32837,29546,26257,23190,22121,19627,16864,15067,25703,28430,27515,14823,7524,6292,4647
310M200US26420,26420,"Houston-The Woodlands-Sugar Land, TX Metro Area",390735,44889,26395,25057,22715,23803,24170,19770,19918,16710,31410,35213,39338,24702,14317,12773,9555
310M200US31080,31080,"Los Angeles-Long Beach-Anaheim, CA Metro Area",341721,41419,30906,20193,21192,17209,19157,15053,14180,13369,25043,29936,34094,23093,13912,12771,10194
310M200US33100,33100,"Miami-Fort Lauderdale-West Palm Beach, FL Metro Area",368710,45094,27296,26125,26434,24056,22307,21809,19805,18352,30539,33993,32968,19153,9116,7648,4015
310M200US37980,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area",452022,64195,36653,30984,28237,26346,28596,23125,23284,18068,34551,38035,40627,24384,14504,12430,8003
310M200US47900,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area",550089,41017,20206,19940,20433,19584,21496,20978,22797,20322,41423,56008,73861,55556,37997,43035,35436
312M200US356203651000,356203651000,"New York city, NY; New York-Newark-Jersey City, NY-NJ-PA Metro Area",740718,102281,54148,44757,40251,38787,38830,37585,34816,28458,54554,68853,78439,48569,28288,26256,15846
