MSA,Total Population,10K,15K,20K,25K,30K,35K,40K,45K,50K,60K,75K,100K,125K,150K,200K,200K+
Atlanta,1068561,48960,35388,37307,41431,38829,44615,40674,47289,39825,83587,112102,146886,107441,71654,80192,92381
Chicago,2115284,91029,66895,79723,79550,73985,79928,77014,80886,71174,153652,213549,291152,230680,150522,175508,200037
Dallas,1360334,55023,41283,44531,49692,48242,54716,51837,54098,48413,102454,141423,185115,151755,98075,109879,123798
Detroit,1170032,63331,47324,52702,55442,51544,56794,51470,54152,48047,93811,123217,158399,111465,70019,70767,61548
Houston,990834,41734,28628,31640,33433,32567,36634,34081,35414,31729,68692,91960,130737,106911,72287,91851,122536
Los Angeles,1744354,87757,71004,64035,66566,59636,59196,54652,58610,54200,109991,151551,215373,178721,123889,160242,228931
Miami,857346,51611,39465,42704,42441,39174,39554,34957,35857,32329,64430,82692,102205,75421,46111,55163,73232
Philadelphia,1513269,65670,49050,55469,55796,54126,56424,53908,57842,53816,107688,146067,206416,165529,114285,131968,139215
DC,1141208,29242,17528,18515,21465,21552,23389,23762,27832,25340,59502,89009,145896,141051,112471,159852,224802
New York City,1221297,78971,51978,48378,47981,39508,40621,38022,39068,34085,70920,105729,144457,119497,80704,106123,175255
